n	m	n_	m_	d	rep	steps	steps_a	time	time_a	alpha	alpha_a	|a|	isA	isA_a
40	30	40	 	 30	4	5	21	117	1.1047	797.8480	0.8281	34.5283	8 	 True 	 True
40	30	40	 	 30	5	1	65	166	3.2949	475.3426	0.6339	15.5751	11 	 True 	 True
40	30	40	 	 30	5	2	42	85	2.1549	151.3063	0.7899	15.4074	14 	 True 	 True
40	30	39	 	 30	5	3	34	99	1.7071	100.2806	0.6485	24.4270	11 	 True 	 True
40	30	40	 	 30	5	4	21	120	1.1001	54.6401	0.8423	46.5984	9 	 True 	 True
40	30	40	 	 30	5	5	62	426	3.1464	306.5876	0.7407	34.5785	13 	 True 	 True
40	40	40	 	 40	3	1	17	76	1.1897	2432.6448	1.0249	53.5765	10 	 True 	 True
40	40	40	 	 40	3	2	15	52	1.1140	592.5359	0.8983	34.0907	9 	 True 	 True
40	40	40	 	 40	3	3	21	64	1.4828	734.7121	0.7357	35.1473	8 	 True 	 True
40	40	40	 	 40	3	4	20	59	1.4410	536.4062	1.0166	45.2247	7 	 True 	 True
40	40	40	 	 40	3	5	23	62	1.6895	1520.8771	1.1354	35.3899	7 	 True 	 True
40	40	40	 	 40	4	1	24	44	1.7412	291.7464	1.2292	28.7007	8 	 True 	 True
40	40	40	 	 40	4	2	29	75	2.0728	648.4702	1.0078	33.2452	8 	 True 	 True
40	40	40	 	 40	4	3	26	135	1.8595	3468.4469	0.8726	36.0465	10 	 True 	 True
40	40	40	 	 40	4	4	38	114	2.6634	1363.0049	0.8518	34.6807	11 	 True 	 True
40	40	40	 	 40	4	5	18	102	1.3375	660.0091	0.9749	40.3990	8 	 True 	 True
